Offen,,Titel,Kategorie,Beschreibung,Institution&ast;,Erstgespräch
begrenzt,"<span style=""font-size: 25px;"" title=""Daten zum Wohnatlas werden auf dem Open Data Portal veröffentlicht"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/wohnatlas-berlin-angebotsmieten-2020-eurm²-monatlich-netto-kalt-wms' target='_blank'>Mietspiegel (Basisdaten)</a>,Stadtentwicklung und Wohnen,Daten zu ortsüblichen Vergleichsmiete,"SenSBW - Abteilung Wohnungswesen, Stadterneuerung, Städtebauförderung",ausstehend
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/geplante-bodennutzung-im-inspire-datenmodell-bebauungsplane-wfs-c208b00d' target='_blank'>Bebauungspläne</a>,Stadtentwicklung und Wohnen,"Informationen zu Aufstellungsbeschlüssen, Fluchtlinienplänen und rechtskräftigen Bebauungsplänen",SenSBW,
ja,"<span style=""font-size: 25px;"" title=""https://daten.berlin.de/datensaetze?q=eigentum&sort=score+desc%2C+metadata_modified+desc"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='geführt' target='_blank'>Wohnungseigentum</a>,Stadtentwicklung und Wohnen,"Historische Daten zu Anzahl von Mietwohnungen und Eigentumswohnungen, aufgeschlüsselt nach Bezirk oder spezifischer",SenSBW,
begrenzt,"<span style=""font-size: 25px;"" title=""Der Energeiatlas Berlin veröffentlicht eine Vielzahl an Daten, die aber bislang nur eingeschränktals Open Data veröffentlicht werden"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/energieatlas-berlin' target='_blank'>Energieverbrauch</a>,Umwelt,"Energieverbrauch der Stadt, inklusive Angaben zu Heizung, Strom, Wasser",SenWEB,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Der Datensatz zur Wasseranalysedaten der Wasserwerke wurden seit 2018 nicht mehr aktualisiert"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke' target='_blank'>Trinkwasseranalyse</a>,Umwelt,Ergebnisse der Trinkwasseranalysen,Berliner Wasserbetriebe,ausstehend
begrenzt,"<span style=""font-size: 25px;"" title=""Eine Anbindung des Datensatzes wird derzeit technisch geprüft"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://viz.berlin.de/verkehr-in-berlin/verkehrslage/' target='_blank'>Straßenverkehr (Echtzeit)</a>,Verkehr,Echtzeitdaten zu der Straßenverkehrslage,SenMVKU - Abteilung Mobilität,geführt
ja,"<span style=""font-size: 25px;"" title=""Der Liegenschaftsplan stellt die räumliche Verteilung der Flurstücke dar, die sich im Eigentum des Landes Berlin, der Bundesrepublik Deutschland, anderer Bundesländer oder anderer Körperschaften des öffentlichen Rechts befinden"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/liegenschaftsplan-wfs-938c0c01' target='_blank'>Landesgrundbesitz (Vermögen)</a>,Wirtschaft und Finanzen,"Daten, möglichst georeferenziert, zu allen Grundstücke die Berlin gehören",SenSBW,
begrenzt,"<span style=""font-size: 25px;"" title=""Die IHK Berlin stellt seit Juli 2023 Gewerbedaten ihrer Mitgliedsunternehmen bereit. Eine Anbindung der Gewerbedatenbank Migewa an das Open Data Portal wird derzeit geprüft"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/gewerbedaten-der-ihk-berlin' target='_blank'>Gewerbemeldungen</a>,Wirtschaft und Finanzen,"Auflistung der Gewerbemeldungen (Anmeldung, Abmeldung, Ummeldung, Sonstige Änderung) ",SenWEB,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine Weiterentwicklung der Daten als Open Data wird derzeit  geprüft"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.berlin.de/vergabeplattform/veroeffentlichungen/bekanntmachungen/' target='_blank'>Ausschreibungen und Vergaben</a>,Wirtschaft und Finanzen,"Daten über geplante und vergebene Aufträge, inklusive Eckdaten zum Auftragsgewinner und deren Angebot",SenSBW - Abteilung Hochbau,geführt
ja,"<span style=""font-size: 25px;"" title=""Daten zur Wirtschaftsleistung werden vom Statistischen Bundesamt herausgegeben"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/bruttoinlandsprodukt-bip-1991-bis-2023' target='_blank'>Wirtschaftsleistung</a>,Wirtschaft und Finanzen,"Bruttoinlandsprodukt, wirtschaftliche Kennzahlen",SenWEB,geführt
nein,"<span style=""font-size: 25px;"" title=""Laut der Antwort der Senatsverwaltung für Inneres und Sport auf die schriftliche Anfrage des Abgeordneten Antonín Brousek vom 17. Oktober 2023 liegen keine genauen Daten zur Anzahl der Defibrillatoren in öffentlichen Gebäuden und im öffentlichen Raum vor. Es gibt keine zentrale Registrierung, und die Bereitstellung von Defibrillatoren liegt in der Verantwortung von Betrieben und Organisationen. Die Berliner Feuerwehr hat jedoch 475 Defibrillatoren im Einsatzleitsystem"">&#9432;</span>",Defibrillatoren,Gesundheit,Standorte von Defibrillatoren,unbekannt,ausstehend
begrenzt,"<span style=""font-size: 25px;"" title=""Die Zuständigkeit in diesem Bereich liegt ausschließlich beim Bund, konkret beim Bundesministerium für Digitales und Verkehr (BMDV)"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://maptool-dipul.dfs.de' target='_blank'>Flugverbotszonen</a>,"Justiz, Rechtssystem und öffentliche Sicherheit","Flächen von Flugverbotszonen, wo z.B. das Fliegen von Drohnen nicht erlaubt ist",BMDV,geführt
nein,"<span style=""font-size: 25px;"" title=""Dieser Datensatz wird bem Landesamt für Bürger- und Ordnungsangelegenheiten (LABO) vermutet"">&#9432;</span>",Bußgelder (Verkehr),"Justiz, Rechtssystem und öffentliche Sicherheit",Verwarn- und Bußgelder fließender und stehender Verkehr (statistische Zusammenfassung),Polizei Berlin,ausstehend
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.berliner-feuerwehr.de/service/open-data/#c15579' target='_blank'>Feuerwehreinsätze</a>,"Justiz, Rechtssystem und öffentliche Sicherheit","Einzelne Einsätze (Rohdaten) oder Einsatzbilanz und ihre Reaktionszeit unterteilt in Art des Einsatzes (Brandeinsätze, Hilfeleistungseinsätze, Fehleinsätze, usw.)",SenInnSport - Abteilung Öffentliche Sicherheit und Ordnung Fachaufsicht über Polizei und Feuerwehr,geführt
nein,,Gesetzestexte,"Justiz, Rechtssystem und öffentliche Sicherheit",Bereitstellung von Gesetze als einfacher Volltext,SenJustV - Abteilung Justiz,ausstehend
nein,,Vermisste Personen / Polizei-Meldungen,"Justiz, Rechtssystem und öffentliche Sicherheit","Eine API mit aktuelle Daten zu vermissten Personen mit einer Beschreibung der Person, Datum der Meldung, usw.",SenInnSport - Abteilung Öffentliche Sicherheit und Ordnung Fachaufsicht über Polizei und Feuerwehr,geführt
nein,,Barrierefreiheit öffentlicher Gebäude,Regierung und öffentlicher Sektor,"Information zur Barrierefreiheit öffentlicher Gebäude: Standorte von Rampen, Aufzügen, etc.",SenInnSport - Abteilung ZS,ausstehend
nein,,Wartezeiten Ämter,Regierung und öffentlicher Sektor,Informationen zu den Wartezeiten und der Anzahl der wartenden Personen nach Ämtern,SenInnSport - Abteilung ZS,ausstehend
begrenzt,"<span style=""font-size: 25px;"" title=""Zusätzlich zum Abgeordnetenhaus gibt die Berliner Landeszentrale für politische Bildung eine Liste aller Mitglieder der Bezirsverodnetenversammlung heraus"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.parlament-berlin.de/das-parlament/abgeordnete/alphabetische-suche' target='_blank'>Politische Mandatare</a>,Regierung und öffentlicher Sektor,"Liste von allen aktuellen politischen Mandataren mit Name, Partei, Alter, Geschlecht, Beruf, usw.","Abgeordnetenhaus Berlin/Berliner Landeszentrale
für politische Bildung",ausstehend
nein,,Vorhabenliste Bürgerbeteiligung,Regierung und öffentlicher Sektor,Liste aller geplanten Projekte wo eine Form Bürgerbeteiligung geplant ist,SenInnSport - Abteilung Staats- und Verwaltungsrecht,ausstehend
nein,"<span style=""font-size: 25px;"" title=""Informationen zu Wohnungsbaupotenzialflächen werden nicht maschinenlesbar im STEP Wohnen 2040 der SenSBW geführt"">&#9432;</span>",Wohnungsbaupotenzialflächen,Stadtentwicklung und Wohnen,Flächengeometrien und Informationen zu Potenzialflächen,SenSBW - Abteilung Stadtplanung,geführt
nein,,Wohnungsbauprojekte,Stadtentwicklung und Wohnen,Alle staatliche Bauprojekte mit Standorten und Planungsvorhaben,SenSBW - Abteilung Stadtplanung,ausstehend
nein,,Wohnungsbaugesellschaften,Stadtentwicklung und Wohnen,Auflistung der verschiedenen staatlich geförderten Wohnungsbaugesellschaften und ihren Besitzen,SenSBW - Abteilung Stadtplanung,ausstehend
begrenzt,"<span style=""font-size: 25px;"" title=""Daten zu Wohnungsverkäufen werden als Open Data veröffentlicht, Wohnungskäufe fehlen"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/tags/wohnungsverkäufe' target='_blank'>Wohnungsverkäufe</a>,Stadtentwicklung und Wohnen,Käufe- und Verkäufe von Grundstücken und Wohnungen,SenSBW,ausstehend
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/alkis-berlin-gebaude-linien-wfs-3d3c53c2' target='_blank'>Leerstehende Gebäude</a>,Stadtentwicklung und Wohnen,"Standorte von Gebäuden, die aktuell leer stehen und nicht benutzt werden",SenSBW,geführt
nein,,Freie WLAN-Hotspots,Stadtraum,Standorte von öffentlichen WLAN-Hotspots im gesamten Stadtgebiet,unbekannt,ausstehend
nein,"<span style=""font-size: 25px;"" title=""Eine Veröffentlichung des Kerndatensatzes wird derzeit geprüft"">&#9432;</span>",KFZ-Zulassungen,Verkehr,"Absoluter Bestand und monatlich neue Fahrzeugzulassungen jeder Art, inklusive Daten zu Antriebsarten, Automarke, Postleitzahl der Besitzer, usw. ",SenInnSport - LABO,ausstehend
nein,"<span style=""font-size: 25px;"" title=""Es liegen keine Informationen zu diesem Datensatz vor. "">&#9432;</span>","<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://viz.berlin.de/site/_masterportal/berlin/index.html?zoomlevel=3&layerIds=basemap_raster_farbe,Verkehrslage&visibility=true,true&transparency=40,0&lng=de#' target='_blank'>Parkhausbelegung (Echtzeit)</a>",Verkehr,Parkplatz-API in Echtzeit mit Ausgabe der Parkplatzbelegung in den Parkhäuser,SenMVKU - Abteilung Mobilität,geführt
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/73f7b89d-5357-44cb-b77c-06adfd384ba3' target='_blank'>Außerplanmäßige Aufwendungen</a>,Wirtschaft und Finanzen,Außerplanmäßige Aufwendungen aus dem Berliner Haushalt mit Zweck und Höhe des Betrags,SenFin,geführt
nein,"<span style=""font-size: 25px;"" title=""Das Projekt „Landesweiter Beteiligungshaushalt“ wird vom aktuellen Senat aufgrund veränderter Prioritätensetzung und angesichts der veränderten Haushaltslage nicht weiterverfolgt"">&#9432;</span>",Bürgerhaushalt,Wirtschaft und Finanzen,Vorschläge für Haushaltsplanung von den Bürgern sowie tatsächliche Umsetzungen,SenFin,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Der Zugang zu Informationen über Eigentumsverhältnisse von Grundstücken in Berlin ist nur eingeschränkt möglich. Es muss ein berechtigetes Interesse vorliegen, um Einsicht in das Grundbuch zu erhalten. Das zuständige Grundbuchamt entscheidet im Einzelfall, ob dies gewährt wird und welche Teile des Grundbuchs eingesehen werden können.https://service.berlin.de/dienstleistung/327196/"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze?q=eigentum' target='_blank'>Grundbuch</a>,Wirtschaft und Finanzen,"Einträge in dem Grundbuch für Berlin, die die Eigentumsverhältnisse von Grundstücken in Berlin verzeichnen",SenSBW,ausstehend
nein,"<span style=""font-size: 25px;"" title=""Seit 01. Januar 2024 kann eine Anfrage an das zentrale Registerportal der Länder gestellt werden"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.handelsregister.de/rp_web/welcome.xhtml' target='_blank'>Handelsregister</a>,Wirtschaft und Finanzen,Einträge von Berliner Unternehmen im Handelsregister,Amtsgericht Charlottenburg,ausstehend
nein,"<span style=""font-size: 25px;"" title=""Über die Berliner Kältehilfe wird verwaltungsintern bereits die Anzahl der zur Verfügung stehenden Plätze und deren Auslastung täglich ausgewertet. Eine Veröffentlichung über das Open Data Portal wird angestrebt"">&#9432;</span>",Anzahl Obdachlose,Bevölkerung und Gesellschaft,"Anzahl von Menschen, die im öffentlichen Raum, im Freien oder in Notunterkünften übernachten",SenASGIVA - Abteilung Soziales,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Bevölkerungsstatistik wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/kommunalstatistik/einwohnerbestand-berlin' target='_blank'>Einwohner*innen-Bewegungsdaten (Außen- und Binnenwanderung)</a>,Bevölkerung und Gesellschaft,"Einwohner*innen-Bewegungsdaten nach Jahr, Stadtteil, usw. gegliedert",Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine erste Flüchtlingsstatistik wird derzeit über das Sozialinformationssystem bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://dashboards.sozial-informations-system.de/superset/dashboard/18/?native_filters_key=gg3dDw4jvSrJ7rPkvxNIu6loapFhnR5XZb0Vbeskl9i33mBfvHj7zCF7dMeEzkoQ' target='_blank'>Flüchtlingszahlen </a>,Bevölkerung und Gesellschaft,Ankunftszahlen nach Herkunftsländern,SenASGIVA - Landesamt für Flüchtlingsangelegenheiten (LAF),geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Über das Sozialinformationssystem sollen perspektivisch Daten zu diesem Kerndatensatz veröffentlicht werden"">&#9432;</span>",Soziale Einrichtungen,Bevölkerung und Gesellschaft,"Angebote wie kostenfreie Übernachtungsangebote für Wohnungslose, Behindertenwohnheime, Einrichtungen für Senior*innen, Beratungsstellen, Einrichtungen für Stadtteilarbeit, usw.",SenASGIVA - Abteilung Soziales,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Statistik zu Menschen mit Behinderung wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/menschen-mit-behinderung-eingliederungshilfe' target='_blank'>Menschen mit Behinderung</a>,Bevölkerung und Gesellschaft,"Anzahl Menschen mit Behinderung nach Behinderungsgrad, Art der Behinderung, Geschlecht und Alter",Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Statistik zu Arbeitslosigkeit wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/search-results?q=Arbeitslosigkeit' target='_blank'>Arbeitslosenzahlen</a>,Bevölkerung und Gesellschaft,"Statistische Informationen zu der Arbeitslosenquote (SGB, SGB II, SGB III)",Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Statistik zu Asylbewerberleistungen wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/asylbewerberleistungen' target='_blank'>Asylwerber*innen</a>,Bevölkerung und Gesellschaft,Anzahl und Herkunftsländer von Asylbewerber*innen sowie Höhe von Leistungen,Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Statistik zu Geburten, Sterbefällen und Eheschließungen wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/bevoelkerung/demografie/geburten-sterbefaelle-eheschliessungen' target='_blank'>Geburten und Sterbefälle</a>,Bevölkerung und Gesellschaft,"Anzahl Geburten und Sterbefälle nach Geschlecht und Alter (Sterbefälle), aufgeschlüsselt nach Bezirk oder detaillierter",Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Statistik zu Lebensformen wird auf der Seite des AfS als Excel veröffentlicht"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/bevoelkerung/demografie/mikrozensus' target='_blank'>Lebensformen</a>,Bevölkerung und Gesellschaft,"Lebensformen (wie Ehepaar ohne Kinder, Alleinstehende, Alleinerziehende mit Kinder, usw.), aufgeteilt in LOR, Stadtbezirke und die gesamte Stadt.",Amt für Statistik Berlin-Brandenburg,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Eine allgemeine Hochschulstatistik wird auf der Seite des AfS als Excel bereitgestellt"">&#9432;</span>",<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.statistik-berlin-brandenburg.de/hochschulen' target='_blank'>Hochschulstatistik</a>,"Bildung, Kultur und Sport",Studierendenzahl nach Universtät und Studiengang,Amt für Statistik Berlin-Brandenburg,geführt
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/breitband-ausbau-der-berliner-schulen-1430033' target='_blank'>Internetanbindung von Schulen</a>,"Bildung, Kultur und Sport",Die Bandbreitenübersicht für Schulen soll einen Überblick über die Internetanbindung der öffentlichen Schulen ermöglichen,SenBJF - Stabsstelle „Schule in der digitalen Welt“,geführt
nein,"<span style=""font-size: 25px;"" title=""Eine Veröffentlichung des Kerndatensatzes wird angestrebt"">&#9432;</span>",Sportstätten,"Bildung, Kultur und Sport",Standorte von Sportanlagen sowie Belegungspläne,SenInnSport - Abteilung Sport,geführt
nein,"<span style=""font-size: 25px;"" title=""Eine Veröffentlichung des Kerndatensatzes wird derzeit geprüft"">&#9432;</span>",Lebensmittelkontrollen,Gesundheit,"Datum und Ergebnisse der Lebensmittelkontrollen (Hygienebedingungen, Lagerbedingungen und die Einhaltung von Kennzeichnungsvorgaben)",SenJustV - Abteilung Verbraucherschutz,geführt
begrenzt,"<span style=""font-size: 25px;"" title=""Die Darstellung der Standorte des Betreibers Nextbike erfolgt derzeit ausschließlich über die Digitale Plattform Stadtverkehr. "">&#9432;</span>","<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://viz.berlin.de/site/_masterportal/berlin/index.html?zoomlevel=3&layerIds=basemap_raster_farbe,Verkehrslage&visibility=true,true&transparency=40,0&lng=de' target='_blank'>Leihfahrräder</a>",Verkehr,Echtzeitdaten der Standorte aller Leihfahrräder,SenMVKU - Abteilung Mobilität,geführt